    48.000    44.000    63.000    33.000    54.000     0.650     0.350     1.000
    54.000    69.000    61.000    52.000    52.000     0.360     0.640     2.000
    59.000    48.000    31.000    62.000    48.000     0.159     0.841     2.000
    59.000    64.000    46.000    51.000    49.000     0.139     0.861     2.000
    43.000    51.000    57.000    54.000    43.000     0.713     0.287     1.000
    48.000    47.000    48.000    45.000    49.000     0.378     0.622     2.000
    59.000    53.000    50.000    41.000    66.000     0.156     0.844     2.000
    59.000    42.000    36.000    49.000    26.000     0.400     0.600     2.000
    54.000    61.000    37.000    42.000    47.000     0.051     0.949     2.000
    49.000    39.000    53.000    39.000    39.000     0.686     0.314     1.000
    29.000    58.000    47.000    49.000    58.000     0.182     0.818     2.000
    64.000    52.000    46.000    43.000    56.000     0.169     0.831     2.000
    51.000    51.000    62.000    40.000    27.000     0.796     0.204     1.000
    50.000    57.000    52.000    40.000    49.000     0.252     0.748     2.000
    48.000    41.000    36.000    62.000    76.000     0.167     0.833     2.000
    44.000    38.000    41.000    57.000    51.000     0.490     0.510     2.000
    44.000    47.000    45.000    49.000    63.000     0.238     0.762     2.000
    47.000    62.000    38.000    39.000    53.000     0.038     0.962     2.000
    33.000    56.000    59.000    50.000    64.000     0.444     0.556     2.000
    69.000    73.000    33.000    53.000    45.000     0.022     0.978     2.000
    49.000    40.000    39.000    34.000    54.000     0.154     0.846     2.000
    54.000    51.000    49.000    42.000    49.000     0.292     0.708     2.000
    55.000    81.000    56.000    44.000    55.000     0.070     0.930     2.000
    62.000    50.000    73.000    53.000    27.000     0.962     0.038     1.000
    39.000    59.000    47.000    41.000    37.000     0.231     0.769     2.000
    39.000    58.000    46.000    43.000    48.000     0.171     0.829     2.000
    52.000    66.000    43.000    23.000    46.000     0.029     0.971     2.000
    45.000    51.000    30.000    48.000    60.000     0.044     0.956     2.000
    74.000    62.000    57.000    41.000    47.000     0.279     0.721     2.000
    36.000    33.000    60.000    43.000    50.000     0.867     0.133     1.000
    34.000    42.000    41.000    52.000    60.000     0.291     0.709     2.000
    56.000    51.000    62.000    56.000    57.000     0.716     0.284     1.000
    57.000    44.000    50.000    52.000    47.000     0.580     0.420     1.000
    56.000    52.000    54.000    42.000    57.000     0.324     0.676     2.000
    52.000    33.000    62.000    56.000    51.000     0.930     0.070     1.000
    54.000    55.000    43.000    67.000    55.000     0.294     0.706     2.000
    37.000    45.000    58.000    57.000    58.000     0.746     0.254     1.000
    56.000    45.000    60.000    41.000    43.000     0.728     0.272     1.000
    38.000    48.000    66.000    57.000    34.000     0.936     0.064     1.000
    44.000    44.000    66.000    63.000    60.000     0.902     0.098     1.000
    26.000    33.000    61.000    42.000    34.000     0.933     0.067     1.000
    39.000    56.000    37.000    49.000    52.000     0.092     0.908     2.000
    56.000    50.000    56.000    37.000    46.000     0.459     0.541     2.000
    56.000    20.000    47.000    40.000    58.000     0.698     0.302     1.000
    48.000    61.000    51.000    39.000    73.000     0.076     0.924     2.000
    38.000    43.000    62.000    58.000    43.000     0.910     0.090     1.000
    62.000    52.000    58.000    54.000    49.000     0.641     0.359     1.000
