Scale,Subscale,Item,Mean_1,Mean_2,Mean_3,SD_1,SD_2,SD_3,N_1,N_2,N_3,Adj_Mean_1,Adj_Mean_2,Adj_Mean_3,F_Value,p_value_ANCOVA,Partial_Eta_Squared,Significant,Pairwise_Comparisons
DASS-15,Depression,542970_00,10.393939393939394,16.125,20.714285714285715,5.76595283723446,4.633329465458276,4.675162334843878,33,32,35,10.396827377692237,16.03163051311175,20.729615753539708,34.628761504081154,5.3947159144835516e-12,0.42422255178219065,Yes,"Class1 - Class2: Diff=-5.63, p=<0.001, d=-1.11; Class1 - Class3: Diff=-10.33, p=<0.001, d=-2.03; Class2 - Class3: Diff=-4.7, p=<0.001, d=-0.92"
DASS-15,Anxiety,542980_00,11.848484848484848,13.09375,18.914285714285715,4.507779470823275,4.774660095991972,5.16419476424207,33,32,35,11.878644163350254,13.145210933712832,18.897644269189804,19.92784542108098,6.096458849686694e-8,0.29775118705381326,Yes,"Class1 - Class2: Diff=-1.27, p=0.904, d=-0.26; Class1 - Class3: Diff=-7.02, p=<0.001, d=-1.44; Class2 - Class3: Diff=-5.75, p=<0.001, d=-1.18"
DASS-15,Stress,542990_00,10.363636363636363,16.0625,20.314285714285713,4.379056560908566,4.911720676097125,4.6003288154309185,33,32,35,10.444076465840515,16.077070354702848,20.290786002834675,38.345172364976385,6.655615282916354e-13,0.4492951540480141,Yes,"Class1 - Class2: Diff=-5.63, p=<0.001, d=-1.22; Class1 - Class3: Diff=-9.85, p=<0.001, d=-2.14; Class2 - Class3: Diff=-4.21, p=<0.001, d=-0.91"
