    48.000    44.000    63.000    33.000    54.000     0.003     0.969     0.025     0.002     2.000
    54.000    69.000    61.000    52.000    52.000     0.000     0.148     0.000     0.851     4.000
    59.000    48.000    31.000    62.000    48.000     0.940     0.050     0.000     0.010     1.000
    59.000    64.000    46.000    51.000    49.000     0.015     0.109     0.000     0.876     4.000
    43.000    51.000    57.000    54.000    43.000     0.013     0.956     0.003     0.028     2.000
    48.000    47.000    48.000    45.000    49.000     0.179     0.788     0.005     0.028     2.000
    59.000    53.000    50.000    41.000    66.000     0.065     0.788     0.000     0.147     2.000
    59.000    42.000    36.000    49.000    26.000     0.824     0.171     0.002     0.003     1.000
    54.000    61.000    37.000    42.000    47.000     0.135     0.044     0.000     0.821     4.000
    49.000    39.000    53.000    39.000    39.000     0.051     0.817     0.131     0.001     2.000
    29.000    58.000    47.000    49.000    58.000     0.097     0.211     0.000     0.691     4.000
    64.000    52.000    46.000    43.000    56.000     0.150     0.729     0.000     0.121     2.000
    51.000    51.000    62.000    40.000    27.000     0.002     0.981     0.002     0.015     2.000
    50.000    57.000    52.000    40.000    49.000     0.028     0.582     0.000     0.390     2.000
    48.000    41.000    36.000    62.000    76.000     0.913     0.084     0.002     0.001     1.000
    44.000    38.000    41.000    57.000    51.000     0.684     0.263     0.053     0.001     1.000
    44.000    47.000    45.000    49.000    63.000     0.401     0.560     0.004     0.035     2.000
    47.000    62.000    38.000    39.000    53.000     0.081     0.026     0.000     0.894     4.000
    33.000    56.000    59.000    50.000    64.000     0.010     0.793     0.001     0.196     2.000
    69.000    73.000    33.000    53.000    45.000     0.004     0.001     0.000     0.994     4.000
    49.000    40.000    39.000    34.000    54.000     0.819     0.166     0.012     0.003     1.000
    54.000    51.000    49.000    42.000    49.000     0.098     0.814     0.001     0.088     2.000
    55.000    81.000    56.000    44.000    55.000     0.000     0.001     0.000     0.999     4.000
    62.000    50.000    73.000    53.000    27.000     0.000     0.998     0.001     0.001     2.000
    39.000    59.000    47.000    41.000    37.000     0.056     0.207     0.000     0.737     4.000
    39.000    58.000    46.000    43.000    48.000     0.092     0.226     0.000     0.681     4.000
    52.000    66.000    43.000    23.000    46.000     0.006     0.010     0.000     0.984     4.000
    45.000    51.000    30.000    48.000    60.000     0.943     0.018     0.000     0.039     1.000
    74.000    62.000    57.000    41.000    47.000     0.002     0.596     0.000     0.401     2.000
    36.000    33.000    60.000    43.000    50.000     0.002     0.137     0.861     0.000     3.000
    34.000    42.000    41.000    52.000    60.000     0.768     0.197     0.029     0.005     1.000
    56.000    51.000    62.000    56.000    57.000     0.002     0.989     0.000     0.009     2.000
    57.000    44.000    50.000    52.000    47.000     0.080     0.910     0.005     0.005     2.000
    56.000    52.000    54.000    42.000    57.000     0.024     0.910     0.000     0.066     2.000
